user_id,installed_at,created_at,updated_at,channel,campaign,total_revenue,total_rewards,num_touchpoints
u000139,1/2/2023 19:29,1/2/2023 20:05,1/2/2023 20:05,twitter,new_user_promo,44.42,0.43,2
u000581,1/8/2023 23:00,1/8/2023 23:53,1/8/2023 23:53,google_ads,summer_sale,321.55,3.2,5
u000673,1/9/2023 21:16,1/9/2023 22:00,1/9/2023 22:00,google_ads,retargeting,161.48,1.61,1
u000708,1/9/2023 21:46,1/9/2023 22:02,1/9/2023 22:02,instagram,retargeting,265.93,2.65,2
u001091,1/13/2023 18:13,1/13/2023 18:28,1/13/2023 18:28,affiliate,retargeting,48.38,0.48,4
u001682,1/21/2023 12:16,1/21/2023 12:48,1/21/2023 12:48,google_ads,brand_awareness,308.23,3.06,4
u001694,1/21/2023 14:15,1/21/2023 14:33,1/21/2023 14:33,facebook,new_user_promo,197.76,1.98,4
u002245,1/27/2023 4:51,1/27/2023 5:36,1/27/2023 5:36,affiliate,summer_sale,820.26,8.18,5
u002328,1/28/2023 17:56,1/28/2023 18:11,1/28/2023 18:11,affiliate,retargeting,28.3,0.27,1
u002422,1/30/2023 14:07,1/30/2023 14:38,1/30/2023 14:38,google_ads,retargeting,18.24,0.17,4
u002457,1/30/2023 0:07,1/30/2023 0:34,1/30/2023 0:34,instagram,holiday_special,995.82,9.94,4
u002561,1/31/2023 5:25,1/31/2023 5:29,1/31/2023 5:29,twitter,retargeting,90.9,0.91,5
u003143,2/7/2023 15:51,2/7/2023 16:23,2/7/2023 16:23,affiliate,retargeting,80.57,0.82,3
u003314,2/9/2023 16:52,2/9/2023 17:20,2/9/2023 17:20,affiliate,retargeting,95.68,0.94,2
u003925,2/17/2023 23:27,2/17/2023 23:28,2/17/2023 23:28,facebook,brand_awareness,339.45,3.38,3
u003946,2/17/2023 23:28,2/17/2023 23:48,2/17/2023 23:48,instagram,retargeting,22.55,0.21,1
u004099,2/19/2023 5:59,2/19/2023 6:11,2/19/2023 6:11,twitter,summer_sale,475.03,4.75,1
u004188,2/20/2023 23:03,2/20/2023 23:06,2/20/2023 23:06,twitter,new_user_promo,212.17,2.12,3
u005166,3/4/2023 5:28,3/4/2023 5:44,3/4/2023 5:44,instagram,new_user_promo,80.07,0.79,2
u005191,3/4/2023 22:26,3/4/2023 23:22,3/4/2023 23:22,affiliate,holiday_special,84.7,0.84,5
u005917,3/13/2023 9:28,3/13/2023 10:04,3/13/2023 10:04,instagram,summer_sale,101.29,1.01,4
u005937,3/13/2023 15:29,3/13/2023 15:29,3/13/2023 15:29,twitter,retargeting,726.17,7.24,5
u006129,3/16/2023 7:27,3/16/2023 7:46,3/16/2023 7:46,google_ads,new_user_promo,127.58,1.27,3
u006164,3/16/2023 9:22,3/16/2023 9:34,3/16/2023 9:34,facebook,summer_sale,119.27,1.2,1
u006822,3/24/2023 7:42,3/24/2023 7:59,3/24/2023 7:59,google_ads,summer_sale,741.55,7.41,4
u006975,3/26/2023 14:38,3/26/2023 14:50,3/26/2023 14:50,google_ads,new_user_promo,70.14,0.68,5
u007603,4/2/2023 4:19,4/2/2023 4:36,4/2/2023 4:36,facebook,retargeting,262.36,2.61,4
u007697,4/3/2023 12:45,4/3/2023 13:45,4/3/2023 13:45,instagram,holiday_special,71.31,0.7,3
u007920,4/6/2023 19:14,4/6/2023 19:41,4/6/2023 19:41,google_ads,new_user_promo,73.42,0.71,3
u008163,4/8/2023 18:45,4/8/2023 18:53,4/8/2023 18:53,twitter,holiday_special,200.71,2,3
u008644,4/14/2023 3:35,4/14/2023 4:02,4/14/2023 4:02,facebook,summer_sale,94.29,0.94,3
u008913,4/17/2023 13:30,4/17/2023 13:40,4/17/2023 13:40,twitter,holiday_special,121.01,1.2,4
u009464,4/24/2023 0:13,4/24/2023 0:52,4/24/2023 0:52,facebook,retargeting,188.28,1.86,5
u009830,4/28/2023 7:22,4/28/2023 7:31,4/28/2023 7:31,facebook,retargeting,129.48,1.29,5
u009986,4/30/2023 15:17,4/30/2023 16:05,4/30/2023 16:05,facebook,retargeting,18.55,0.17,3
u010273,5/3/2023 19:34,5/3/2023 19:35,5/3/2023 19:35,instagram,retargeting,185.16,1.86,4
u010284,5/3/2023 11:40,5/3/2023 11:48,5/3/2023 11:48,twitter,retargeting,179.29,1.8,1
u010558,5/7/2023 18:18,5/7/2023 18:18,5/7/2023 18:18,google_ads,summer_sale,550.18,5.51,2
u010632,5/8/2023 8:00,5/8/2023 8:29,5/8/2023 8:29,google_ads,holiday_special,452.47,4.53,5
u010728,5/9/2023 7:08,5/9/2023 7:42,5/9/2023 7:42,google_ads,retargeting,113.25,1.14,4
u010946,5/11/2023 21:37,5/11/2023 22:30,5/11/2023 22:30,instagram,retargeting,122.15,1.21,5
u010954,5/11/2023 18:20,5/11/2023 18:41,5/11/2023 18:41,twitter,new_user_promo,117.23,1.16,4
u011030,5/12/2023 10:59,5/12/2023 11:00,5/12/2023 11:00,instagram,holiday_special,266.86,2.65,1
u011282,5/15/2023 12:51,5/15/2023 13:45,5/15/2023 13:45,affiliate,summer_sale,191.06,1.9,3
u011441,5/17/2023 2:43,5/17/2023 3:04,5/17/2023 3:04,instagram,retargeting,427.84,4.27,5
u011697,5/20/2023 3:42,5/20/2023 4:28,5/20/2023 4:28,instagram,holiday_special,351.35,3.49,5
u011927,5/23/2023 18:03,5/23/2023 18:50,5/23/2023 18:50,facebook,new_user_promo,25.22,0.24,3
u011949,5/23/2023 0:42,5/23/2023 0:57,5/23/2023 0:57,instagram,new_user_promo,41.29,0.41,1
u012256,5/26/2023 4:54,5/26/2023 4:57,5/26/2023 4:57,affiliate,retargeting,397.14,3.95,5
u012337,5/28/2023 21:26,5/28/2023 21:38,5/28/2023 21:38,google_ads,new_user_promo,124.36,1.24,4
u012759,6/1/2023 2:47,6/1/2023 3:39,6/1/2023 3:39,twitter,retargeting,162.79,1.61,3
u012763,6/1/2023 2:16,6/1/2023 2:38,6/1/2023 2:38,affiliate,summer_sale,16.29,0.15,4
u012772,6/2/2023 10:20,6/2/2023 10:32,6/2/2023 10:32,google_ads,new_user_promo,244.95,2.43,3
u012840,6/2/2023 7:19,6/2/2023 8:04,6/2/2023 8:04,facebook,retargeting,382.2,3.8,3
u013063,6/4/2023 12:45,6/4/2023 13:13,6/4/2023 13:13,instagram,retargeting,21.03,0.2,5
u013187,6/5/2023 20:17,6/5/2023 20:51,6/5/2023 20:51,affiliate,summer_sale,135.26,1.35,5
u013277,6/6/2023 12:36,6/6/2023 12:52,6/6/2023 12:52,instagram,holiday_special,369.6,3.68,5
u013349,6/7/2023 11:04,6/7/2023 12:00,6/7/2023 12:00,facebook,new_user_promo,324.89,3.24,1
u013456,6/8/2023 17:47,6/8/2023 18:02,6/8/2023 18:02,google_ads,retargeting,4.69,0.04,5
u013718,6/11/2023 18:29,6/11/2023 19:01,6/11/2023 19:01,google_ads,holiday_special,298.94,2.99,1
u014167,6/15/2023 19:20,6/15/2023 19:46,6/15/2023 19:46,facebook,holiday_special,113.39,1.12,5
u014227,6/16/2023 22:36,6/16/2023 23:30,6/16/2023 23:30,google_ads,new_user_promo,524.77,5.25,2
u014519,6/19/2023 16:16,6/19/2023 17:02,6/19/2023 17:02,google_ads,holiday_special,20.21,0.2,3
u014959,6/23/2023 21:28,6/23/2023 22:14,6/23/2023 22:14,google_ads,brand_awareness,16.51,0.15,4
u015212,6/25/2023 2:20,6/25/2023 3:04,6/25/2023 3:04,twitter,brand_awareness,156.79,1.57,3
u015674,6/30/2023 22:26,6/30/2023 23:01,6/30/2023 23:01,google_ads,new_user_promo,102.76,1.04,2
u015814,7/1/2023 3:39,7/1/2023 4:14,7/1/2023 4:14,facebook,holiday_special,114.39,1.14,5
u015948,7/3/2023 12:39,7/3/2023 12:58,7/3/2023 12:58,google_ads,new_user_promo,83.94,0.82,5
u016146,7/4/2023 4:10,7/4/2023 4:33,7/4/2023 4:33,twitter,holiday_special,166.88,1.66,1
u016221,7/5/2023 20:19,7/5/2023 21:15,7/5/2023 21:15,facebook,holiday_special,440.02,4.4,5
u016285,7/5/2023 14:06,7/5/2023 14:59,7/5/2023 14:59,affiliate,retargeting,49.56,0.49,2
u016770,7/10/2023 17:22,7/10/2023 18:15,7/10/2023 18:15,affiliate,retargeting,81.42,0.81,1
u016910,7/12/2023 9:05,7/12/2023 9:41,7/12/2023 9:41,facebook,new_user_promo,40.63,0.4,1
u016942,7/12/2023 5:11,7/12/2023 5:23,7/12/2023 5:23,instagram,new_user_promo,10.98,0.1,2
u017027,7/13/2023 0:23,7/13/2023 0:44,7/13/2023 0:44,facebook,holiday_special,66.09,0.67,3
u017373,7/17/2023 22:53,7/17/2023 23:28,7/17/2023 23:28,google_ads,new_user_promo,362.37,3.61,5
u017640,7/19/2023 13:56,7/19/2023 14:08,7/19/2023 14:08,facebook,retargeting,221.09,2.19,3
u017969,7/22/2023 3:22,7/22/2023 3:36,7/22/2023 3:36,instagram,brand_awareness,102.74,1.02,4
u018326,7/26/2023 7:27,7/26/2023 7:48,7/26/2023 7:48,google_ads,brand_awareness,35.21,0.36,1
u018481,7/27/2023 1:27,7/27/2023 1:32,7/27/2023 1:32,instagram,holiday_special,286.87,2.86,3
